fips,parish_name,parish_slug
22001,Acadia,acadia
22003,Allen,allen
22005,Ascension,ascension
22007,Assumption,assumption
22009,Avoyelles,avoyelles
22011,Beauregard,beauregard
22013,Bienville,bienville
22015,Bossier,bossier
22017,Caddo,caddo
22019,Calcasieu,calcasieu
22021,Caldwell,caldwell
22023,Cameron,cameron
22025,Catahoula,catahoula
22027,Claiborne,claiborne
22029,Concordia,concordia
22031,De Soto,desoto
22033,East Baton Rouge,east-baton-rouge
22035,East Carroll,east-carroll
22037,East Feliciana,east-feliciana
22039,Evangeline,evangeline
22041,Franklin,franklin
22043,Grant,grant
22045,Iberia,iberia
22047,Iberville,iberville
22049,Jackson,jackson
22051,Jefferson,jefferson
22053,Jefferson Davis,jefferson-davis
22055,Lafayette,lafayette
22057,Lafourche,lafourche
22059,La Salle,lasalle
22061,Lincoln,lincoln
22063,Livingston,livingston
22065,Madison,madison
22067,Morehouse,morehouse
22069,Natchitoches,natchitoches
22071,Orleans,orleans
22073,Ouachita,ouachita
22075,Plaquemines,plaquemines
22077,Pointe Coupee,pointe-coupee
22079,Rapides,rapides
22081,Red River,red-river
22083,Richland,richland
22085,Sabine,sabine
22087,St. Bernard,st-bernard
22089,St. Charles,st-charles
22091,St. Helena,st-helena
22093,St. James,st-james
22095,St. John the Baptist,st-john-the-baptist
22097,St. Landry,st-landry
22099,St. Martin,st-martin
22101,St. Mary,st-mary
22103,St. Tammany,st-tammany
22105,Tangipahoa,tangipahoa
22107,Tensas,tensas
22109,Terrebonne,terrebonne
22111,Union,union
22113,Vermilion,vermilion
22115,Vernon,vernon
22117,Washington,washington
22119,Webster,webster
22121,West Baton Rouge,west-baton-rouge
22123,West Carroll,west-carroll
22125,West Feliciana,west-feliciana
22127,Winn,winn
