School Systems and Schools,,"Feb. 1, 2025
MFP Funded Membership",Economically Disadvantaged Funding,,,,Career & Technical Funding,,,,Students with Disabilities Funding,,,,,,,
,,,Student Count,Per Pupil Amount,Level 1 State Cost Allocation Dollars,Percent of Students,Unit Count,Per Unit Amount,Level 1 State Cost Allocation Dollars,Percent of Units,Student Count,Per Pupil Amount,Level 1 State Cost Allocation Dollars,Percent of Students,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,
1,Acadia Parish,"8,763","6,337",$676,"$4,284,029",72.32%,"3,195.0",$184,"$589,072",36.46%,"1,190","$4,609","$5,485,096",13.58%,,,,
2,Allen Parish,"3,614","2,578",$728,"$1,876,038",71.33%,"1,948.0",$198,"$386,613",53.90%,539,"$4,962","$2,674,337",14.91%,,,,
3,Ascension Parish,"23,318","12,700",$542,"$6,881,192",54.46%,"15,138.5",$148,"$2,237,028",64.92%,"2,853","$3,694","$10,539,750",12.24%,,,,
4,Assumption Parish,"2,471","1,771",$646,"$1,144,250",71.67%,"1,260.0",$176,"$222,025",50.99%,421,"$4,405","$1,854,613",17.04%,,,,
5,Avoyelles Parish,"4,633","3,666",$701,"$2,568,540",79.13%,"3,465.5",$191,"$662,199",74.80%,666,"$4,777","$3,181,535",14.38%,,,,
6,Beauregard Parish,"5,464","3,175",$620,"$1,970,085",58.11%,"2,101.0",$169,"$355,546",38.45%,910,"$4,231","$3,849,916",16.65%,,,,
7,Bienville Parish,"1,746","1,352",$401,"$541,477",77.43%,744.0,$109,"$81,265",42.61%,324,"$2,731","$884,742",18.56%,,,,
8,Bossier Parish,"21,779","12,474",$634,"$7,904,119",57.28%,"9,303.0",$173,"$1,607,679",42.72%,"3,476","$4,320","$15,017,445",15.96%,,,,
9,Caddo Parish,"31,680","23,098",$581,"$13,418,686",72.91%,"10,833.0",$158,"$1,716,378",34.20%,"4,429","$3,961","$17,543,243",13.98%,,,,
10,Calcasieu Parish,"27,624","17,326",$504,"$8,729,754",62.72%,"8,875.0",$137,"$1,219,553",32.13%,"5,442","$3,435","$18,695,230",19.70%,,,,
11,Caldwell Parish,"1,352","1,033",$710,"$732,982",76.41%,913.0,$194,"$176,682",67.53%,299,"$4,838","$1,446,547",22.12%,,,,
12,Cameron Parish,"1,070",485,$221,"$107,100",45.33%,464.5,$60,"$27,975",43.41%,169,"$1,506","$254,451",15.79%,,,,
13,Catahoula Parish,869,730,$697,"$508,566",84.00%,584.0,$190,"$110,960",67.20%,130,"$4,750","$617,499",14.96%,,,,
14,Claiborne Parish,"1,538","1,349",$702,"$947,406",87.71%,751.0,$192,"$143,844",48.83%,347,"$4,788","$1,661,584",22.56%,,,,
15,Concordia Parish,"2,744","2,349",$709,"$1,665,857",85.60%,"1,355.0",$193,"$262,073",49.38%,401,"$4,835","$1,938,955",14.61%,,,,
16,DeSoto Parish,"4,657","2,786",$312,"$870,326",59.82%,"3,292.5",$85,"$280,515",70.70%,593,"$2,130","$1,263,061",12.73%,,,,
17,East Baton Rouge Parish*,"38,042","30,268",$453,"$13,710,663",79.56%,"18,667.5",$124,"$2,306,160",49.07%,"4,569","$3,088","$14,111,217",12.01%,,,,
18,East Carroll Parish,699,677,$645,"$436,947",96.85%,441.0,$176,"$77,626",63.09%,87,"$4,401","$382,849",12.45%,,,,
19,East Feliciana Parish,"1,568","1,195",$500,"$597,749",76.21%,654.0,$136,"$89,219",41.71%,261,"$3,411","$890,143",16.65%,,,,
20,Evangeline Parish,"5,061","3,881",$716,"$2,780,327",76.68%,"2,781.0",$195,"$543,353",54.95%,962,"$4,885","$4,698,896",19.01%,,,,
21,Franklin Parish,"2,402","2,005",$705,"$1,414,422",83.47%,893.5,$192,"$171,905",37.20%,445,"$4,810","$2,140,391",18.53%,,,,
22,Grant Parish,"2,577","1,833",$762,"$1,397,644",71.13%,"1,619.0",$208,"$336,674",62.82%,525,"$5,199","$2,729,368",20.37%,,,,
23,Iberia Parish,"10,465","8,041",$650,"$5,228,045",76.84%,"5,257.0",$177,"$932,171",50.23%,"1,580","$4,433","$7,004,141",15.10%,,,,
24,Iberville Parish,"3,709","2,979",$221,"$657,838",80.32%,"1,299.5",$60,"$78,262",35.04%,460,"$1,506","$692,588",12.40%,,,,
25,Jackson Parish,"1,918","1,279",$632,"$808,061",66.68%,"1,516.0",$172,"$261,217",79.04%,263,"$4,308","$1,132,917",13.71%,,,,
26,Jefferson Parish,"45,578","36,868",$504,"$18,579,829",80.89%,"17,702.5",$137,"$2,433,074",38.84%,"6,792","$3,436","$23,337,718",14.90%,,,,
27,Jefferson Davis Parish,"5,019","3,187",$690,"$2,198,097",63.50%,"3,146.5",$188,"$591,863",62.69%,851,"$4,703","$4,001,869",16.96%,,,,
28,Lafayette Parish,"28,643","18,657",$530,"$9,888,842",65.14%,"13,314.0",$145,"$1,924,601",46.48%,"3,091","$3,614","$11,170,464",10.79%,,,,
29,Lafourche Parish,"12,834","8,612",$613,"$5,282,227",67.10%,"6,835.0",$167,"$1,143,352",53.26%,"1,484","$4,182","$6,206,053",11.56%,,,,
30,LaSalle Parish,"2,386","1,397",$697,"$973,808",58.55%,"1,385.0",$190,"$263,303",58.05%,341,"$4,753","$1,620,690",14.29%,,,,
31,Lincoln Parish,"5,612","3,420",$589,"$2,014,192",60.94%,"3,029.0",$161,"$486,522",53.97%,993,"$4,016","$3,987,427",17.69%,,,,
32,Livingston Parish,"26,129","19,468",$736,"$14,325,164",74.51%,"15,667.5",$201,"$3,144,174",59.96%,"3,705","$5,017","$18,588,103",14.18%,,,,
33,Madison Parish,"1,104","1,053",$632,"$665,050",95.38%,864.0,$172,"$148,822",78.26%,189,"$4,306","$813,872",17.12%,,,,
34,Morehouse Parish,"3,016","2,466",$665,"$1,638,954",81.76%,"2,264.0",$181,"$410,373",75.07%,571,"$4,532","$2,587,488",18.93%,,,,
35,Natchitoches Parish,"4,687","4,137",$573,"$2,368,718",88.27%,"2,469.5",$156,"$385,625",52.69%,559,"$3,904","$2,182,269",11.93%,,,,
36,Orleans Parish,"42,246","35,001",$463,"$16,210,233",82.85%,"13,509.5",$126,"$1,706,383",31.98%,"6,899","$3,158","$21,785,299",16.33%,,,,
37,Ouachita Parish,"16,952","11,064",$689,"$7,619,380",65.27%,"6,342.0",$188,"$1,191,139",37.41%,"2,477","$4,695","$11,630,598",14.61%,,,,
38,Plaquemines Parish,"3,286","2,167",$221,"$478,528",65.95%,"2,083.0",$60,"$125,449",63.39%,535,"$1,506","$805,509",16.28%,,,,
39,Pointe Coupee Parish,"2,102","1,617",$447,"$722,592",76.93%,"1,566.5",$122,"$190,916",74.52%,414,"$3,047","$1,261,398",19.70%,,,,
40,Rapides Parish,"20,414","15,951",$650,"$10,362,974",78.14%,"10,872.0",$177,"$1,926,347",53.26%,"3,232","$4,430","$14,316,486",15.83%,,,,
41,Red River Parish,"1,160","1,069",$236,"$251,880",92.16%,425.0,$64,"$27,311",36.64%,173,"$1,607","$277,927",14.91%,,,,
42,Richland Parish,"2,645","2,063",$616,"$1,271,174",78.00%,"1,551.5",$168,"$260,727",58.66%,396,"$4,201","$1,663,678",14.97%,,,,
43,Sabine Parish,"3,513","2,498",$623,"$1,555,463",71.11%,"2,408.0",$170,"$408,933",68.55%,521,"$4,246","$2,211,940",14.83%,,,,
44,St. Bernard Parish,"7,172","5,093",$639,"$3,254,902",71.01%,"3,430.0",$174,"$597,843",47.82%,956,"$4,357","$4,165,726",13.33%,,,,
45,St. Charles Parish,"8,681","4,666",$267,"$1,245,777",53.75%,"5,514.5",$73,"$401,541",63.52%,"1,320","$1,820","$2,402,913",15.21%,,,,
46,St. Helena Parish,988,984,$736,"$724,671",99.60%,398.0,$201,"$79,939",40.28%,204,"$5,021","$1,024,341",20.65%,,,,
47,St. James Parish,"2,998","2,087",$350,"$730,467",69.61%,"1,439.0",$95,"$137,362",48.00%,599,"$2,386","$1,429,466",19.98%,,,,
48,St. John the Baptist Parish,"4,824","4,149",$400,"$1,661,374",86.01%,"2,729.0",$109,"$298,027",56.57%,808,"$2,730","$2,205,992",16.75%,,,,
49,St. Landry Parish,"10,659","8,888",$639,"$5,677,503",83.38%,"7,008.5",$174,"$1,220,976",65.75%,"1,597","$4,355","$6,955,476",14.98%,,,,
50,St. Martin Parish,"6,443","5,561",$641,"$3,562,595",86.31%,"3,584.0",$175,"$626,196",55.63%,917,"$4,368","$4,005,451",14.23%,,,,
51,St. Mary Parish,"6,872","5,625",$612,"$3,443,586",81.85%,"4,186.0",$167,"$698,902",60.91%,"1,318","$4,174","$5,501,390",19.18%,,,,
