parish_slug,parish_name,sped_iep_count,sped_gen_ed_public,sped_total_public_enrollment,sped_iep_pct,sped_teacher_fte_total,sped_teacher_fte_certified,sped_teacher_fte_uncertified,sped_teacher_gap_pct
acadia,Acadia,1202,9140,10342,11.6,40.24,26.74,13.5,33.5
allen,Allen,540,3927,4467,12.1,23,17,6,26.1
ascension,Ascension,3242,24158,27400,11.8,174.07,130.07,44,25.3
assumption,Assumption,486,2847,3333,14.6,31.22,21.22,10,32.0
avoyelles,Avoyelles,605,4859,5464,11.1,37.33,25.83,11.5,30.8
beauregard,Beauregard,972,5732,6704,14.5,58.99,53.99,5,8.5
bienville,Bienville,398,1851,2249,17.7,9.95,5.95,4,40.2
bossier,Bossier,4551,22279,26830,17.0,178.3,177.3,1,0.6
caddo,Caddo,6118,33245,39363,15.5,260.07,206.35,53.72,20.7
calcasieu,Calcasieu,5779,28399,34178,16.9,307.43,246.76,60.67,19.7
caldwell,Caldwell,342,1516,1858,18.4,10.23,5,5.23,51.1
cameron,Cameron,217,1122,1339,16.2,12.25,11.25,1,8.2
catahoula,Catahoula,129,936,1065,12.1,7,2,5,71.4
claiborne,Claiborne,458,1634,2092,21.9,13.11,6.8,6.31,48.1
concordia,Concordia,493,2989,3482,14.2,20.39,13.14,7.25,35.6
desoto,DeSoto,783,4974,5757,13.6,41,35,6,14.6
east-baton-rouge,East Baton Rouge,5596,40287,45883,12.2,276.49,213.49,63,22.8
east-carroll,East Carroll,90,755,845,10.7,1.95,1.95,0,0.0
east-feliciana,East Feliciana,257,1687,1944,13.2,4,1,3,75.0
evangeline,Evangeline,1079,5434,6513,16.6,53.53,28.33,25.2,47.1
franklin,Franklin,501,2618,3119,16.1,19.43,5,14.43,74.3
grant,Grant,558,2743,3301,16.9,27.24,15.61,11.63,42.7
iberia,Iberia,1892,11032,12924,14.6,114.83,75.33,39.5,34.4
iberville,Iberville,594,4142,4736,12.5,28.91,16.91,12,41.5
jackson,Jackson,327,2019,2346,13.9,8,7,1,12.5
jefferson,Jefferson,9225,47903,57128,16.1,284.07,160.67,123.4,43.4
jefferson-davis,Jefferson Davis,901,5402,6303,14.3,42.24,34.24,8,18.9
lafayette,Lafayette,4288,30374,34662,12.4,205.43,161.43,44,21.4
lafourche,Lafourche,1737,13562,15299,11.4,84.0,68.04,15.96,19.0
lasalle,LaSalle,336,2490,2826,11.9,16.99,12.89,4.1,24.1
lincoln,Lincoln,1195,5809,7004,17.1,64.65,58.15,6.5,10.1
livingston,Livingston,4620,26986,31606,14.6,233.9,174.07,59.83,25.6
madison,Madison,183,1251,1434,12.8,4.0,1.5,2.5,62.5
morehouse,Morehouse,540,3171,3711,14.6,24.94,16,8.94,35.8
natchitoches,Natchitoches,788,4947,5735,13.7,38.3,26.3,12,31.3
orleans,Orleans,516,2648,3164,16.3,12.3,5.97,6.33,51.5
ouachita,Ouachita,3016,17838,20854,14.5,88.08,85.08,3,3.4
plaquemines,Plaquemines,781,3741,4522,17.3,53.33,40,13.33,25.0
pointe-coupee,Pointe Coupee,391,2437,2828,13.8,9.7,6.5,3.2,33.0
rapides,Rapides,3690,22134,25824,14.3,207.93,142.95,64.98,31.3
red-river,Red River,191,1285,1476,12.9,9.5,8.5,1,10.5
richland,Richland,472,2739,3211,14.7,14.33,12,2.33,16.3
sabine,Sabine,628,3814,4442,14.1,33,19,14,42.4
st-bernard,St. Bernard,1031,7730,8761,11.8,43.98,42.98,1,2.3
st-charles,St. Charles,1977,9241,11218,17.6,106.67,78.67,28,26.2
st-helena,St. Helena,228,1046,1274,17.9,10,4,6,60.0
st-james,St. James,674,3382,4056,16.6,37.0,21.25,15.75,42.6
st-john-the-baptist,St. John the Baptist,835,5202,6037,13.8,43.0,16.5,26.5,61.6
st-landry,St. Landry,1819,11473,13292,13.7,96.6,74.1,22.5,23.3
st-martin,St. Martin,1173,6954,8127,14.4,42.33,32.33,10,23.6
st-mary,St. Mary,1781,7532,9313,19.1,51.5,44.5,7,13.6
st-tammany,St. Tammany,8550,36819,45369,18.8,418.08,416.06,2.02,0.5
tangipahoa,Tangipahoa,3088,19482,22570,13.7,167.96,76.43,91.53,54.5
tensas,Tensas,84,331,415,20.2,4,2,2,50.0
terrebonne,Terrebonne,2335,15030,17365,13.4,119.68,78.61,41.07,34.3
union,Union,217,1691,1908,11.4,9,5,4,44.4
vermilion,Vermilion,1452,9300,10752,13.5,67.75,56.75,11,16.2
vernon,Vernon,1272,8126,9398,13.5,58.68,39.79,18.89,32.2
washington,Washington,1242,4597,5839,21.3,33.62,17.9,15.72,46.8
webster,Webster,1074,5108,6182,17.4,39.64,22.64,17.0,42.9
west-baton-rouge,West Baton Rouge,748,4257,5005,14.9,51,38,13,25.5
west-carroll,West Carroll,232,1568,1800,12.9,3.5,2.5,1,28.6
west-feliciana,West Feliciana,534,2196,2730,19.6,22.15,18.68,3.47,15.7
winn,Winn,320,1811,2131,15.0,10,6,4,40.0
