parish_code,parish_name,parish_slug,schools_reporting,total_enrollment,pct_of_state,students_per_school,pct_female,pct_male,female_count,male_count,american_indian,asian,black,hispanic,hawaiian_pacific,white,multiple_races,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_hawaiian_pacific,pct_white,pct_multiple_races,pct_fully_english_proficient,pct_limited_english,pct_economically_disadvantaged,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,k12_total
001,Acadia Parish,acadia,32,8871,1.34,277.2,49.7,50.3,4409,4462,19,19,2114,516,0,5672,531,0.2,0.2,23.8,5.8,0.0,63.9,6.0,98.4,1.6,69.6,658,692,652,689,703,662,696,633,650,604,607,545,517,8308
002,Allen Parish,allen,11,3689,0.56,335.4,47.5,52.5,1752,1937,38,21,661,67,1,2649,252,1.0,0.6,17.9,1.8,0.0,71.8,6.8,99.7,0.3,69.9,280,267,278,271,291,253,257,283,281,233,269,232,259,3454
003,Ascension Parish,ascension,33,23422,3.55,709.8,48.6,51.4,11383,12039,31,336,7299,3246,13,11347,1150,0.1,1.4,31.2,13.9,0.1,48.4,4.9,96.3,3.7,53.5,1522,1661,1727,1781,1800,1731,1696,1748,1747,1797,1812,1893,1480,22395
004,Assumption Parish,assumption,6,2530,0.38,421.7,49.6,50.4,1255,1275,6,12,1031,147,1,1245,88,0.2,0.5,40.8,5.8,0.0,49.2,3.5,98.1,1.9,69.4,194,189,180,186,180,188,163,155,154,126,180,162,171,2228
005,Avoyelles Parish,avoyelles,11,4754,0.72,432.2,47.6,52.4,2263,2491,30,9,2122,49,0,2233,311,0.6,0.2,44.6,1.0,0.0,47.0,6.5,99.4,0.6,77.7,352,322,332,370,356,330,306,349,353,391,375,337,320,4493
006,Beauregard Parish,beauregard,12,5579,0.84,464.9,48.4,51.6,2700,2879,22,16,531,316,8,4350,336,0.4,0.3,9.5,5.7,0.1,78.0,6.0,99.1,0.9,51.9,446,412,427,442,477,427,444,420,406,389,352,384,343,5369
007,Bienville Parish,bienville,8,1796,0.27,224.5,49.3,50.7,885,911,0,5,937,25,0,773,56,0.0,0.3,52.2,1.4,0.0,43.0,3.1,99.6,0.4,76.2,155,143,132,140,130,116,130,112,168,142,101,116,125,1710
008,Bossier Parish,bossier,34,21818,3.3,641.7,48.6,51.4,10604,11214,57,380,6565,2848,54,10737,1177,0.3,1.7,30.1,13.1,0.2,49.2,5.4,95.2,4.8,55.9,1525,1582,1581,1626,1587,1712,1692,1648,1710,1512,1678,1544,1510,20907
009,Caddo Parish,caddo,55,32257,4.88,586.5,49.8,50.2,16064,16193,35,471,21030,2001,8,7613,1099,0.1,1.5,65.2,6.2,0.0,23.6,3.4,97.6,2.4,73.8,2345,2272,2350,2459,2271,2332,2313,2275,2398,2120,2451,2514,2286,30386
010,Calcasieu Parish,calcasieu,59,28654,4.34,485.7,48.8,51.2,13983,14671,93,526,8869,2423,24,15553,1166,0.3,1.8,31.0,8.5,0.1,54.3,4.1,97.1,2.9,62.2,2214,2289,2146,2278,2163,2064,1975,2080,1998,1766,2058,1932,1880,26843
011,Caldwell Parish,caldwell,8,1407,0.21,175.9,48.3,51.7,680,727,3,0,238,41,0,1072,53,0.2,0.0,16.9,2.9,0.0,76.2,3.8,99.6,0.4,79.5,99,93,99,96,95,96,124,98,93,100,96,86,85,1260
012,Cameron Parish,cameron,5,1141,0.17,228.2,47.5,52.5,542,599,4,0,12,88,0,1009,28,0.4,0.0,1.1,7.7,0.0,88.4,2.5,98.2,1.8,46.7,78,86,79,86,97,89,78,79,74,69,97,81,73,1066
013,Catahoula Parish,catahoula,3,827,0.13,275.7,50.7,49.3,419,408,0,0,290,2,0,515,20,0.0,0.0,35.1,0.2,0.0,62.3,2.4,99.9,0.1,83.2,59,71,57,73,66,65,50,70,57,50,69,50,42,779
014,Claiborne Parish,claiborne,7,1580,0.24,225.7,51.1,48.9,807,773,2,7,1062,31,1,428,49,0.1,0.4,67.2,2.0,0.1,27.1,3.1,99.7,0.3,88.2,108,118,106,124,117,119,108,117,120,116,100,95,118,1466
015,Concordia Parish,concordia,11,2794,0.42,254.0,46.6,53.4,1302,1492,2,32,1392,125,0,1181,62,0.1,1.1,49.8,4.5,0.0,42.3,2.2,97.3,2.7,86.9,230,220,207,206,192,215,192,199,214,113,174,179,200,2541
016,DeSoto Parish,desoto,9,4801,0.73,533.4,47.5,52.5,2280,2521,23,28,1896,248,2,2379,225,0.5,0.6,39.5,5.2,0.0,49.6,4.7,99.1,0.9,57.2,354,354,324,362,353,348,349,325,345,380,330,342,316,4482
